truncate-multiline--last-line-wrapper,job-card-search__company-name,job-card-search__location
Financial Analyst,DevaCurl,"New York City, NY, US"
Tableau Business Analyst - NYC,Huxley,"New York City, NY, US"
Business Analyst / Medicaid Data Warehouse (HBITS 4537),"Computer Aid, Inc.","Albany, NY, US"
"Platform Analyst (SF, NY)",Oath,"New York City, NY, US"
Data Analyst - Cloud Platform - Big 4 Client,Optimus Consulting,"New York City, NY, US"
"Sr Analyst, Business Intelligence",SheKnows Media,"New York City, NY, US"
Payroll & Data Analyst,Charlotte Tilbury Beauty,"New York City, NY, US"
"Analyst, Research",JLL,"New York City, NY, US"
User Success Analyst,Point72,"New York, New York"
"Manager, Global Services Analytics",ASCAP,"New York, New York"
Content Analyst - Live Sports,Facebook,"New York City, NY, US"
Data Analyst,HireKeep,"New York City, NY, US"
Human Resources/ Customer Service Specialist,Delaware North,"Buffalo, NY, US"
"Strategic Planning - North American Banking COO, Associate",Mizuho Americas,"New York, US-NY"
Analyst: Data for Sustainable Development,Sustainable Development Solutions Network,"New York City, NY, US"
"Trading Analyst, Programatic",Active International,"New York City, NY, US"
"Data Technology Analyst, Decision Sciences","3Q Digital, a Harte Hanks Company","New York City, NY, US"
"Research Associate, Digital Insights",Decision Resources Group,"New York City, NY, US"
Market Research Analyst (Corporate and Political),Benenson Strategy Group,"New York City, NY, US"
CBS.com,CBS Interactive,"New York City, NY, US"
APT Hunter,BNY Mellon,Greater New York City Area
Community Coordinator,NYC Citywide Administrative Services,"New York, New York"
"Research Analyst, CSC",Vera Institute of Justice,"New York City, NY, US"
Business Analyst,MSF India,"New York City, NY, US"
DevOps Engineer,Business Insider,"New York City, NY, US"
Customer Insights Analyst - Dashboard Developer (PF3),New York Life Insurance Company,"New York City, NY, US"
Engagement and Corporate Communications Analyst,RentHop,"SoHo, NY, US"
Commercial Analyst,Brainly,"New York, New York"
Data Reporting Analyst,ABC-Amega,"Buffalo, NY, US"
"UM - Senior Analyst, Decision Sciences",UM Worldwide,"New York City, NY, US"
Human Resources Operations Analyst,The New School,"New York City, NY, US"
ServiceDesk Consultant,UC Irvine,"New York City, NY, US"
Senior Research Analyst,GlobalWebIndex,"New York City, NY, US"
Equity Research Associate - Biotechnology,Guggenheim Partners,"New York City, NY, US"
"Analyst, Industry Engagement, Research Partnerships",The Michael J. Fox Foundation for Parkinson's Research,"New York City, NY, US"
Consumer Marketing and Sales Analyst,Gannett | USA TODAY NETWORK,"Rochester, NY, US"
"Manager, Paid Social",Performics,Greater New York City Area
"Director, Mid-Market Sales",eMarketer,"New York City, NY, US"
Business Analyst,Green Key Resources,"New York City, NY, US"
QA ANALYST,Axius Technologies Inc.,"Buffalo, NY, US"
Business and Planning Manager III - Credit Data Solutions,M&T Bank,"Buffalo, NY, US"
"Policy Analyst, Corrections and Reentry",The Council of State Governments,"New York City, NY, US"
Replenishment Forecast Analyst,J.Crew,"New York City, NY, US"
Epic Certified Clinical Analyst (Grand Central ADT Cadence/Prelude) Consultant,Mediant Health Resources,"New York City, NY, US"
Provider Data Analyst,Beacon Health Options,"Manhattan, NY, US"
Digital Marketing Manager,Blue Apron,"New York City, NY, US"
eCommerce Senior Manager,Search Solution Group,"New York City, NY, US"
Reimbursement Analyst I,Roswell Park Cancer Institute,"Buffalo, NY, US"
"Analyst/Senior Analyst, Distribution Revenue Accounting",National Grid,"Brooklyn, NY, US"
Client Services Analyst - Boston,Harrington Starr,"New York City, NY, US"
"Data Scientist, Forecast Analyst","NBCUniversal Media, LLC","New York City, NY, US"
EDI Manager,"Roland Foods, LLC","New York City, NY, US"
Data Engineer,Earnest Research,Greater New York City Area
Senior Data Strategy Analyst,"Neustar, Inc.","New York City, NY, US"
Benefits and HRIS Analyst,"The Donna Karan Company, LLC.","New York City, NY, US"
Account Manager,Truveris,"New York City, NY, US"
Senior Healthcare Research Analyst,"Coordinated Care Services, Inc. (CCSI)","Rochester, NY, US"
Data Management Analyst,Sumitomo Mitsui Banking Corporation,"New York City, NY, US"
"Murray, UT)",3M,"Albany, NY, US"
"Data Architect, Media Technology",Horizon Media,Greater New York City Area
Enterprise Application Architect,Hachette Book Group,"New York City, NY, US"
Financial Data Analyst,Intertek,"New York City, NY, US"
"Quantitative Analysis, Sr.Analyst - NY/Chicago - Markets Group",Federal Reserve Bank of New York,"New York City, NY, US"
Market Research Analyst,WebMD,"New York, New York"
Equity Strategy Associate,RBC,"New York City, NY, US"
Payroll Analyst,Medidata Solutions,"New York City, NY, US"
Senior Data Analyst,Compass /,"New York City, NY, US"
People Ops Analyst,Namely,"New York City, NY, US"
DATA ANALYST I - Department of Environmental Medicine and Public Health,Mount Sinai Health System,"New York City, NY, US"
IT Data Analyst - COGNOS,TechConnect - LLC,"New York City, NY, US"
Junior Analyst,"Conductor, Inc.","New York City, NY, US"
Campaign Performance Analyst,Dow Jones,"New York City, NY, US"
Director Of Analytics,Essence,Greater New York City Area
Lead Business Data Analyst,Comrise,"New York City, NY, US"
Research Analyst - Emerging Technology,Barclays Investment Bank,"New York City, NY, US"
Associate - Business Manager,BNP Paribas,"New York City, NY, US"
Ambulatory Analyst,Hospital for Special Surgery,"New York City, NY, US"
Data Analyst/Engineer with experience building reporting pipelines,Jobspring Partners,"New York City, NY, US"
Policy and Data Research,New York City Campaign Finance Board,"New York City, NY, US"
"KC Business Analyst, Casey Quirk by Deloitte",Deloitte,"New York City, NY, US"
"Senior Analyst, Global Analytics",The New York Times,"New York City, NY, US"
Sr. Business Analyst (Reporting),"Ross Stores, Inc.","New York City, NY, US"
"SAS Data Analyst, Decision Analytics",EXL,"New York City, NY, US"
Financial Analyst 3685,Lexacount LLC,"New York City, NY, US"
Appraiser,CBRE,"Albany, NY, US"
Client Services Analyst - Seattle,Harrington Starr,"New York City, NY, US"
Senior Data Analyst,"Impact Radius, Inc.","New York City, NY, US"
"Director, Data Analysis & Strategy, Distribution",A+E Networks,"New York City, NY, US"
Marketing Performance Analyst,Ad Council,"New York City, NY, US"
Clinical Helpdesk Support Analyst,NTT DATA Services,"New York City, NY, US"
Data Analyst - Vice President,Morgan Stanley,"New York City, NY, US"
